Parameter,Sum Sq,Df,F value,Pr(>F),model
Drought,24.295357884747887,2,30.776834890730576,< 0.001,Regional_Drought
Region,51.95626977206456,4,32.90854046889625,< 0.001,Regional_Drought
Residuals,85.65033863469421,217,NA,NA,Regional_Drought
Year_fac,87.99067773076258,46,15.072702286691337,< 0.001,Regional_Year
Region,51.37078974914979,4,101.19721044358018,< 0.001,Regional_Year
Residuals,21.95501878867923,173,NA,NA,Regional_Year
Drought,13.3397914261801,2,10.076625976194444,< 0.001,Seasonal_Drought
Season,3107.5382371899022,3,1564.9170476749102,< 0.001,Seasonal_Drought
Residuals,112.52598577182998,170,NA,NA,Seasonal_Drought
Year_fac,61.74506305172605,46,2.6376465648325205,< 0.001,Seasonal_Year
Season,3096.0193297998467,3,2027.937673228947,< 0.001,Seasonal_Year
Residuals,64.12071414628399,126,NA,NA,Seasonal_Year
